zip_code,Number of 311 cases,Average House Value (Dollars),Adjudication - Ordinance Violation,Administration,Animal Shelter,Assessment,Assessment & Taxation,BFD,BMHA,Buffalo Sewer Authority,Buffalo Water Authority,Buildings Division,COB APP Issues,Citizen Services - Good Neighbor,Citizen Services - Graffiti,Citizen Services - Quick Response Teams,Citizen Services - Save Our Streets,Citizen Services - Weed & Seed,Citizens Services - Clean City,City Clerk Issue,City Parks,Community Based Orgs,Engineering - Street Repairs,Engineering - Traffic,Forestry,Freedom of Information,Harbor Master,Housing,Licenses,Moving Violations,National Grid,OSP,Parking Violations Bureau,Personnel,Police,Real Estate,Rodent Control,Rodent_Pest Control,Sanitation,Streets,Streets/Sanitation,Taxation,Telecommunications,Youth Bureau
14201,5452,204046.38,13,7,38,0,0,30,22,35,38,1,0,0,21,31,11,0,1,1,15,1,381,95,114,0,0,1017,0,0,180,0,561,0,204,14,61,35,1621,895,4,5,0,0
14202,2847,422916.8,14,4,9,4,5,11,19,11,14,24,2,0,23,72,1,0,0,64,14,0,267,136,35,0,5,472,2,227,62,10,379,1,63,16,11,4,587,258,1,19,0,1
14203,1396,146488.37,0,1,8,0,0,3,13,9,10,3,0,0,4,28,2,0,0,0,2,0,364,118,10,0,2,181,0,0,101,0,147,1,45,1,8,0,218,115,2,0,0,0
14204,3836,80312.42,5,4,45,2,1,15,140,28,56,3,0,0,4,37,7,0,0,0,4,1,344,160,96,0,0,569,0,3,149,2,233,5,70,15,84,32,1253,455,3,11,0,0
14206,10260,62545.11,25,7,175,0,0,27,16,127,123,8,0,0,5,72,28,0,4,3,38,2,850,203,192,0,0,1946,7,8,327,1,533,4,410,27,154,69,3452,1358,30,29,0,0
14207,12066,73585.36,50,10,196,0,1,31,63,91,159,0,0,1,50,156,33,0,0,1,9,0,1110,215,152,0,0,2054,8,7,301,3,651,13,361,15,217,65,4039,1962,15,27,0,0
14208,6195,63257.1,16,9,107,1,0,26,18,70,59,1,0,0,3,51,12,0,0,0,3,0,338,132,137,0,0,825,4,2,251,2,260,2,123,30,155,45,2455,1038,12,8,0,0
14209,3475,227604.43,11,1,29,1,2,9,1,28,27,0,0,0,8,51,6,0,0,0,0,0,431,115,66,0,0,639,1,1,113,2,178,4,71,13,59,19,1068,509,2,10,0,0
14210,7220,68880.23,34,6,139,1,3,32,11,108,76,4,0,0,3,38,6,0,0,2,32,0,598,151,128,0,0,1093,4,5,262,0,361,0,331,13,127,30,2721,866,8,27,0,0
14211,12398,37412.33,54,7,215,1,4,42,23,145,118,11,0,1,11,131,41,1,3,3,20,1,719,304,288,0,0,1759,4,14,397,7,400,3,274,82,289,106,5044,1828,17,31,0,0
14212,5452,29475.44,12,7,79,1,1,9,0,47,60,13,0,0,2,81,23,0,1,1,7,0,215,92,88,0,1,1131,2,1,166,5,202,0,227,49,78,28,1856,953,3,11,0,0
14213,12158,132396.59,50,14,145,3,5,40,14,112,119,1,0,0,72,65,33,0,0,1,11,1,517,195,200,0,0,2329,4,4,331,1,944,6,453,21,220,52,4494,1669,10,22,0,0
14214,10202,165276.82,48,9,134,1,4,29,10,94,71,4,0,0,24,99,19,0,0,0,18,2,776,290,265,0,0,1788,3,3,406,1,456,1,255,25,211,45,3253,1814,18,24,1,1
14215,16643,53197.87,43,18,274,1,2,71,101,225,175,3,0,1,9,87,36,1,9,4,8,1,808,325,377,1,0,2489,7,11,558,0,549,1,332,39,369,141,6952,2559,16,38,1,1
14216,10523,210607.66,41,2,145,2,6,54,35,146,161,3,0,0,38,73,8,0,0,1,18,0,1016,270,220,0,0,1370,4,1,443,1,451,8,227,8,208,58,3596,1858,13,38,0,0
14218,57,127787.88,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,1,1,0,0,4,0,0,2,0,1,0,1,0,1,0,10,3,0,0,0,0
14220,10332,111804.33,36,2,193,1,3,26,2,143,126,3,0,0,8,31,5,0,0,1,17,0,1048,215,428,0,0,1520,5,0,460,0,736,7,317,3,137,55,3781,958,30,34,1,0
14222,5918,372530.62,36,2,50,0,0,19,35,76,47,1,0,0,25,17,4,0,0,1,2,0,488,114,137,0,0,887,1,2,231,1,616,3,137,7,64,16,1909,970,2,18,0,0
14223,20,198500.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0
14225,54,42102.56,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8,1,4,0,0,2,0,1,0,0,8,0,0,1,0,0,20,6,0,0,0,0
